timestamp,device,ip,ifIndex,ifDescr,inOctets,outOctets,operStatus,sysUpTimeCentisecs
2025-11-24T16:24:41.017076,R1,192.168.10.1,1,GigabitEthernet0/0,3389761,2684279,1,2253722
2025-11-24T16:24:41.017076,R1,192.168.10.1,2,GigabitEthernet0/1,5285082,5594405,1,2253722
2025-11-24T16:24:41.017076,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2253722
2025-11-24T16:24:41.017076,R1,192.168.10.1,4,Null0,0,0,1,2253722
2025-11-24T16:24:50.546930,R1,192.168.10.1,1,GigabitEthernet0/0,3389761,2684710,1,2254674
2025-11-24T16:24:50.546930,R1,192.168.10.1,2,GigabitEthernet0/1,5286963,5596450,1,2254674
2025-11-24T16:24:50.546930,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2254674
2025-11-24T16:24:50.546930,R1,192.168.10.1,4,Null0,0,0,1,2254674
2025-11-24T16:24:58.022786,R1,192.168.10.1,1,GigabitEthernet0/0,3389761,2684770,1,2255422
2025-11-24T16:24:58.022786,R1,192.168.10.1,2,GigabitEthernet0/1,5289273,5598806,1,2255422
2025-11-24T16:24:58.022786,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2255422
2025-11-24T16:24:58.022786,R1,192.168.10.1,4,Null0,0,0,1,2255422
2025-11-24T16:25:05.513756,R1,192.168.10.1,1,GigabitEthernet0/0,3389761,2684770,1,2256175
2025-11-24T16:25:05.513756,R1,192.168.10.1,2,GigabitEthernet0/1,5291094,5600731,1,2256175
2025-11-24T16:25:05.513756,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2256175
2025-11-24T16:25:05.513756,R1,192.168.10.1,4,Null0,0,0,1,2256175
2025-11-24T16:25:13.027984,R1,192.168.10.1,1,GigabitEthernet0/0,3390132,2684830,1,2256924
2025-11-24T16:25:13.027984,R1,192.168.10.1,2,GigabitEthernet0/1,5292915,5602716,1,2256924
2025-11-24T16:25:13.027984,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2256924
2025-11-24T16:25:13.027984,R1,192.168.10.1,4,Null0,0,0,1,2256924
2025-11-24T16:25:20.520494,R1,192.168.10.1,1,GigabitEthernet0/0,3390132,2684890,1,2257672
2025-11-24T16:25:20.520494,R1,192.168.10.1,2,GigabitEthernet0/1,5294736,5604701,1,2257672
2025-11-24T16:25:20.520494,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2257672
2025-11-24T16:25:20.520494,R1,192.168.10.1,4,Null0,0,0,1,2257672
2025-11-24T16:25:28.015123,R1,192.168.10.1,1,GigabitEthernet0/0,3390132,2684950,1,2258422
2025-11-24T16:25:28.015123,R1,192.168.10.1,2,GigabitEthernet0/1,5296665,5606746,1,2258422
2025-11-24T16:25:28.015123,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2258422
2025-11-24T16:25:28.015123,R1,192.168.10.1,4,Null0,0,0,1,2258422
2025-11-24T16:25:28.426172,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2221186
2025-11-24T16:25:28.426172,R2,192.168.20.1,2,GigabitEthernet0/0,2404438,2620630,1,2221186
2025-11-24T16:25:28.426172,R2,192.168.20.1,3,GigabitEthernet0/1,80734,255649,1,2221186
2025-11-24T16:25:28.426172,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2221186
2025-11-24T16:25:28.426172,R2,192.168.20.1,5,Null0,0,0,1,2221186
2025-11-24T16:25:32.849423,R1,192.168.10.1,1,GigabitEthernet0/0,3392422,2687119,1,2258910
2025-11-24T16:25:32.849423,R1,192.168.10.1,2,GigabitEthernet0/1,5300781,5610961,1,2258910
2025-11-24T16:25:32.849423,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2258910
2025-11-24T16:25:32.849423,R1,192.168.10.1,4,Null0,0,0,1,2258910
2025-11-24T16:25:33.312440,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2221677
2025-11-24T16:25:33.312440,R2,192.168.20.1,2,GigabitEthernet0/0,2406607,2622980,1,2221677
2025-11-24T16:25:33.312440,R2,192.168.20.1,3,GigabitEthernet0/1,80734,255709,1,2221677
2025-11-24T16:25:33.312440,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2221677
2025-11-24T16:25:33.312440,R2,192.168.20.1,5,Null0,0,0,1,2221677
2025-11-24T16:25:37.756367,R1,192.168.10.1,1,GigabitEthernet0/0,3394712,2689348,1,2259398
2025-11-24T16:25:37.756367,R1,192.168.10.1,2,GigabitEthernet0/1,5305205,5615741,1,2259398
2025-11-24T16:25:37.756367,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2259398
2025-11-24T16:25:37.756367,R1,192.168.10.1,4,Null0,0,0,1,2259398
2025-11-24T16:25:38.189130,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2222163
2025-11-24T16:25:38.189130,R2,192.168.20.1,2,GigabitEthernet0/0,2408776,2625270,1,2222163
2025-11-24T16:25:38.189130,R2,192.168.20.1,3,GigabitEthernet0/1,80734,256080,1,2222163
2025-11-24T16:25:38.189130,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2222163
2025-11-24T16:25:38.189130,R2,192.168.20.1,5,Null0,0,0,1,2222163
2025-11-24T16:25:42.615302,R1,192.168.10.1,1,GigabitEthernet0/0,3394712,2689348,1,2259880
2025-11-24T16:25:42.615302,R1,192.168.10.1,2,GigabitEthernet0/1,5305205,5615741,1,2259880
2025-11-24T16:25:42.615302,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2259880
2025-11-24T16:25:42.615302,R1,192.168.10.1,4,Null0,0,0,1,2259880
2025-11-24T16:25:43.020990,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2222648
2025-11-24T16:25:43.020990,R2,192.168.20.1,2,GigabitEthernet0/0,2410945,2627620,1,2222648
2025-11-24T16:25:43.020990,R2,192.168.20.1,3,GigabitEthernet0/1,80734,256140,1,2222648
2025-11-24T16:25:43.020990,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2222648
2025-11-24T16:25:43.020990,R2,192.168.20.1,5,Null0,0,0,1,2222648
2025-11-24T16:25:47.461271,R1,192.168.10.1,1,GigabitEthernet0/0,3397002,2691888,1,2260368
2025-11-24T16:25:47.461271,R1,192.168.10.1,2,GigabitEthernet0/1,5310063,5620846,1,2260368
2025-11-24T16:25:47.461271,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2260368
2025-11-24T16:25:47.461271,R1,192.168.10.1,4,Null0,0,0,1,2260368
2025-11-24T16:25:47.893913,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2223134
2025-11-24T16:25:47.893913,R2,192.168.20.1,2,GigabitEthernet0/0,2413485,2629910,1,2223134
2025-11-24T16:25:47.893913,R2,192.168.20.1,3,GigabitEthernet0/1,80734,256140,1,2223134
2025-11-24T16:25:47.893913,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2223134
2025-11-24T16:25:47.893913,R2,192.168.20.1,5,Null0,0,0,1,2223134
2025-11-24T16:25:52.326383,R1,192.168.10.1,1,GigabitEthernet0/0,3399292,2694117,1,2260856
2025-11-24T16:25:52.326383,R1,192.168.10.1,2,GigabitEthernet0/1,5314632,5625711,1,2260856
2025-11-24T16:25:52.326383,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2260856
2025-11-24T16:25:52.326383,R1,192.168.10.1,4,Null0,0,0,1,2260856
2025-11-24T16:25:52.772087,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2223620
2025-11-24T16:25:52.772087,R2,192.168.20.1,2,GigabitEthernet0/0,2415654,2632260,1,2223620
2025-11-24T16:25:52.772087,R2,192.168.20.1,3,GigabitEthernet0/1,80734,256200,1,2223620
2025-11-24T16:25:52.772087,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2223620
2025-11-24T16:25:52.772087,R2,192.168.20.1,5,Null0,0,0,1,2223620
